title,year,budget_raw,box_office_raw,release_date,section,image
El Cid,1961,$7–9 million [ 1 ] [ 2 ] [ 3 ],"$12,000,000[2]",,Highest-grossing,images\1961_El_Cid.jpg
The Parent Trap,1961,,"$9,300,000[3]",,Highest-grossing,images\1961_The_Parent_Trap.jpg
The Absent-Minded Professor,1961,,"$9,000,000[3]",,Highest-grossing,images\1961_The_Absent-Minded_Professor.jpg
King of Kings,1961,$7–8.5 million [ 2 ] [ 3 ],"$8,000,000[4]",,Highest-grossing,images\1961_King_of_Kings.jpg
Lover Come Back,1961,,"$7,625,000[5]",,Highest-grossing,images\1961_Lover_Come_Back.jpg
One Hundred and One Dalmatians,1961,$3.6–4 million [ 2 ] [ 3 ],"$6,200,000[6]",,Highest-grossing,images\1961_One_Hundred_and_One_Dalmatians.jpg
La Dolce Vita,1961,,"$6,000,000[3]",,Highest-grossing,images\1961_La_Dolce_Vita.jpg
Come September,1961,,"$5,772,000[5]",,Highest-grossing,images\1961_Come_September.jpg
The Longest Day,1962,$7.75 million [ 1 ],"$15,250,000[1]",,Highest-grossing,images\1962_The_Longest_Day.jpg
Lawrence of Arabia,1962,$15 million [ 3 ],"$15,000,000[1]",,Highest-grossing,images\1962_Lawrence_of_Arabia.jpg
The Music Man,1962,,"$8,000,000[1]",,Highest-grossing,images\1962_The_Music_Man.jpg
That Touch of Mink,1962,,"$7,942,000[2]",,Highest-grossing,images\1962_That_Touch_of_Mink.jpg
Mutiny on the Bounty,1962,$19 million or $17 million [ 1 ],"$7,410,000[2]",,Highest-grossing,images\1962_Mutiny_on_the_Bounty.jpg
To Kill a Mockingbird,1962,$2 million [ 2 ],"$7,112,000[2]",,Highest-grossing,images\1962_To_Kill_a_Mockingbird.jpg
Hatari!,1962,,"$7,000,000[2]",,Highest-grossing,images\1962_Hatari!.jpg
Gypsy,1962,$4 million,"$6,000,000[2]",,Highest-grossing,images\1962_Gypsy.jpg
Bon Voyage!The Interns,1962,$3 million [ 1 ],"$5,000,000[2]",,Highest-grossing,images\1962_Bon_Voyage!The_Interns.jpg
In Search of the Castaways,1962,,"$4,900,000[1]",,Highest-grossing,images\1962_In_Search_of_the_Castaways.jpg
Cleopatra,1963,$31.1 million [ 3 ],"$26,000,000[1]",,Highest-grossing,images\1963_Cleopatra.jpg
How the West Was Won,1963,$14.4 million [ 1 ],"$20,932,883[2]",,Highest-grossing,images\1963_How_the_West_Was_Won.jpg
"It's a Mad, Mad, Mad, Mad World",1963,$9.4 million [ 1 ],"$20,800,000[1]",,Highest-grossing,"images\1963_It's_a_Mad,_Mad,_Mad,_Mad_World.jpg"
Tom Jones,1963,"£467,000 [ 1 ] [ 2 ] [ 3 ] or £480,000 [ 4 ]","$17,070,000[3]",,Highest-grossing,images\1963_Tom_Jones.jpg
Irma la Douce,1963,$5 million [ 1 ],"$11,921,784[3]",,Highest-grossing,images\1963_Irma_la_Douce.jpg
Son of Flubber,1963,$2 million,"$9,100,000[1]",,Highest-grossing,images\1963_Son_of_Flubber.jpg
Charade,1963,$3 million [ 3 ],"$6,363,000[4]",,Highest-grossing,images\1963_Charade.jpg
Bye Bye Birdie,1963,$5 million [ 3 ],"$6,200,000[4]",,Highest-grossing,images\1963_Bye_Bye_Birdie.jpg
"Come Blow Your HornMove Over, Darling",1963,,"$6,000,000[4]",,Highest-grossing,"images\1963_Come_Blow_Your_HornMove_Over,_Darling.jpg"
The Great Escape,1963,$3.8 million [ 1 ],"$5,546,000[4]",,Highest-grossing,images\1963_The_Great_Escape.jpg
Mary Poppins,1964,$4.4–6 million [ 5 ],"$31,000,000[1]",,Highest-grossing,images\1964_Mary_Poppins.jpg
My Fair Lady,1964,$17 million [ 2 ],"$30,000,000[2]",,Highest-grossing,images\1964_My_Fair_Lady.jpg
Goldfinger,1964,$3 million,"$22,500,000[1]",,Highest-grossing,images\1964_Goldfinger.jpg
The Carpetbaggers,1964,$3.3 million [ 3 ],"$15,500,000[1]",,Highest-grossing,images\1964_The_Carpetbaggers.jpg
From Russia With Love,1964,$2 million,"$9,200,000[1]",,Highest-grossing,images\1964_From_Russia_With_Love.jpg
A Shot in the Dark,1964,,"$6,748,000[3]",,Highest-grossing,images\1964_A_Shot_in_the_Dark.jpg
What a Way to Go!,1964,$3.7 million [ 2 ],"$6,100,000[4]",,Highest-grossing,images\1964_What_a_Way_to_Go!.jpg
The Unsinkable Molly Brown,1964,,"$6,040,000[3]",,Highest-grossing,images\1964_The_Unsinkable_Molly_Brown.jpg
The Pink Panther,1964,,"$5,935,000[3]",,Highest-grossing,images\1964_The_Pink_Panther.jpg
A Hard Day's Night,1964,"£189,000 [ 2 ] (~US$529,000)","$5,800,000[5]",,Highest-grossing,images\1964_A_Hard_Day's_Night.jpg
The Sound of Music,1965,$8.2 million [ 2 ] [ 3 ],"$72,000,000[1]",,Highest-grossing,images\1965_The_Sound_of_Music.jpg
Doctor Zhivago,1965,$11 million,"$43,000,000[1]",,Highest-grossing,images\1965_Doctor_Zhivago.jpg
Thunderball,1965,$9 million,"$27,000,000[1]",,Highest-grossing,images\1965_Thunderball.jpg
Those Magnificent Men in their Flying Machines,1965,$6.5 million [ 2 ],"$14,000,000[2]",,Highest-grossing,images\1965_Those_Magnificent_Men_in_their_Flying_Machines.jpg
The Great Race,1965,US$12 million,"$11,400,000[3]",,Highest-grossing,images\1965_The_Great_Race.jpg
That Darn Cat!,1965,,"$9,500,000[1]",,Highest-grossing,images\1965_That_Darn_Cat!.jpg
Cat Ballou,1965,,"$9,300,000[1]",,Highest-grossing,images\1965_Cat_Ballou.jpg
What's New Pussycat?,1965,,"$8,469,000[3]",,Highest-grossing,images\1965_What's_New_Pussycat?.jpg
Shenandoah,1965,,"$7,771,000[3]",,Highest-grossing,images\1965_Shenandoah.jpg
Von Ryan's Express,1965,$5.76 million [ 1 ],"$7,700,000[3]",,Highest-grossing,images\1965_Von_Ryan's_Express.jpg
Hawaii,1966,$15 million [ 1 ],"$15,600,000[1]",,Highest-grossing,images\1966_Hawaii.jpg
The Bible: In the Beginning...,1966,$15–$18 million [ 1 ] [ 2 ],"$15,000,000[1]",,Highest-grossing,images\1966_The_Bible:_In_the_Beginning....jpg
Who's Afraid of Virginia Woolf?,1966,$7.5 million,"$14,500,000[1]",,Highest-grossing,images\1966_Who's_Afraid_of_Virginia_Woolf?.jpg
The Sand Pebbles,1966,$12.1 million [ 2 ],"$13,500,000[1]",,Highest-grossing,images\1966_The_Sand_Pebbles.jpg
A Man for All Seasons,1966,$2 million,"$12,800,000[1]",,Highest-grossing,images\1966_A_Man_for_All_Seasons.jpg
"The Russians Are Coming, the Russians Are Coming",1966,$3.9 million [ 1 ],"$9,800,000[1]",,Highest-grossing,"images\1966_The_Russians_Are_Coming,_the_Russians_Are_Coming.jpg"
Grand Prix,1966,$9 million,"$9,300,000[1]",,Highest-grossing,images\1966_Grand_Prix.jpg
The Professionals,1966,,"$8,800,000[1]",,Highest-grossing,images\1966_The_Professionals.jpg
Alfie,1966,"$500,000 [ 2 ]","$8,500,000[2]",,Highest-grossing,images\1966_Alfie.jpg
Georgy Girl,1966,"$400,000 [ citation needed ]","$7,600,000[2]",,Highest-grossing,images\1966_Georgy_Girl.jpg
The Graduate,1967,$3 million,"$43,100,000[2]",,Highest-grossing,images\1967_The_Graduate.jpg
Guess Who's Coming to Dinner,1967,$4 million [ 2 ],"$25,500,000[2]",,Highest-grossing,images\1967_Guess_Who's_Coming_to_Dinner.jpg
Bonnie and Clyde,1967,$2.5 million [ 1 ] [ 2 ],"$22,000,000[2]",,Highest-grossing,images\1967_Bonnie_and_Clyde.jpg
The Dirty Dozen,1967,$5.4 million [ 3 ],"$20,100,000[2]",,Highest-grossing,images\1967_The_Dirty_Dozen.jpg
Valley of the Dolls,1967,$4.7 million [ 1 ],"$20,000,000[2]",,Highest-grossing,images\1967_Valley_of_the_Dolls.jpg
"To Sir, with Love",1967,"$625,000 [ 1 ] or $600,000 [ 2 ]","$19,100,000[2]",,Highest-grossing,"images\1967_To_Sir,_with_Love.jpg"
You Only Live Twice,1967,$9.5 million [ 3 ],"$18,000,000[2]",,Highest-grossing,images\1967_You_Only_Live_Twice.jpg
Thoroughly Modern Millie,1967,$6 million,"$14,700,000[2]",,Highest-grossing,images\1967_Thoroughly_Modern_Millie.jpg
The Jungle Book,1967,$4 million [ 1 ],"$13,000,000[2]",,Highest-grossing,images\1967_The_Jungle_Book.jpg
Camelot,1967,$13 million,"$12,300,000[2]",,Highest-grossing,images\1967_Camelot.jpg
Funny Girl,1968,$14.1 million,"$24,900,000[1]",,Highest-grossing,images\1968_Funny_Girl.jpg
2001: A Space Odyssey,1968,$10.5 million,"$21,500,000[1]",,Highest-grossing,images\1968_2001:_A_Space_Odyssey.jpg
The Odd Couple,1968,$1.2 million,"$20,000,000[1]",,Highest-grossing,images\1968_The_Odd_Couple.jpg
Bullitt,1968,$4 million [ 2 ],"$19,000,000[1]",,Highest-grossing,images\1968_Bullitt.jpg
Oliver!,1968,$10 million,"$16,800,000[1]",,Highest-grossing,images\1968_Oliver!.jpg
Planet of the Apes,1968,$5.8 million [ 2 ],"$15,000,000[1]",,Highest-grossing,images\1968_Planet_of_the_Apes.jpg
Rosemary's Baby,1968,$3.2 million [ 2 ],"$15,000,000[1]",,Highest-grossing,images\1968_Rosemary's_Baby.jpg
Romeo and Juliet,1968,"$850,000 [ 1 ]","$14,500,000[1]",,Highest-grossing,images\1968_Romeo_and_Juliet.jpg
"Yours, Mine and Ours",1968,$2.5 million,"$11,500,000[1]",,Highest-grossing,"images\1968_Yours,_Mine_and_Ours.jpg"
The Lion in Winter,1968,$4 million [ 1 ],"$10,006,000[2]",,Highest-grossing,images\1968_The_Lion_in_Winter.jpg
Butch Cassidy and the Sundance Kid,1969,$6 million [ 3 ],"$29,200,000[1]",,Highest-grossing,images\1969_Butch_Cassidy_and_the_Sundance_Kid.jpg
The Love Bug,1969,$5 million [ 1 ],"$21,000,000[1]",,Highest-grossing,images\1969_The_Love_Bug.jpg
Midnight Cowboy,1969,$3.2 million [ 1 ],"$20,500,000[2]",,Highest-grossing,images\1969_Midnight_Cowboy.jpg
Easy Rider,1969,"$360,000–400,000 [ 2 ]","$16,900,000[1]",,Highest-grossing,images\1969_Easy_Rider.jpg
"Hello, Dolly!",1969,$25 million,"$15,000,000[1]",,Highest-grossing,"images\1969_Hello,_Dolly!.jpg"
Bob & Carol & Ted & Alice,1969,$2 million [ 2 ],"$14,600,000[1]",,Highest-grossing,images\1969_Bob_&_Carol_&_Ted_&_Alice.jpg
Paint Your Wagon,1969,$20 million [ 3 ],"$14,500,000[1]",,Highest-grossing,images\1969_Paint_Your_Wagon.jpg
True Grit,1969,,"$14,300,000[1]",,Highest-grossing,images\1969_True_Grit.jpg
Cactus Flower,1969,$3 million,"$11,900,000[1]",,Highest-grossing,images\1969_Cactus_Flower.jpg
"Goodbye, Columbus",1969,$1.5 million [ 1 ],"$10,500,000[1]",,Highest-grossing,"images\1969_Goodbye,_Columbus.jpg"
Love Story,1970,$2.2 million [ 2 ],"$50,000,000[1]",,Highest-grossing,images\1970_Love_Story.jpg
Airport,1970,$10.2 million [ 2 ],"$44,500,000[1]",,Highest-grossing,images\1970_Airport.jpg
M*A*S*H,1970,$3 million,"$30,000,000[1]",,Highest-grossing,images\1970_M*A*S*H.jpg
Patton,1970,$12.6 million [ 2 ],"$27,000,000[1]",,Highest-grossing,images\1970_Patton.jpg
Woodstock,1970,"$600,000","$16,400,000[2]",,Highest-grossing,images\1970_Woodstock.jpg
Little Big Man,1970,$7 million [ 1 ],"$15,000,000[1]",,Highest-grossing,images\1970_Little_Big_Man.jpg
Tora! Tora! Tora!,1970,$25 million [ 1 ] [ 2 ],"$13,700,000[1]",,Highest-grossing,images\1970_Tora!_Tora!_Tora!.jpg
Ryan's Daughter,1970,$13.3 million [ 3 ] [ 4 ],"$13,400,000[1]",,Highest-grossing,images\1970_Ryan's_Daughter.jpg
Catch-22,1970,$18 million,"$12,300,000[1]",,Highest-grossing,images\1970_Catch-22.jpg
The Owl and the Pussycat,1970,,"$11,500,000[1]",,Highest-grossing,images\1970_The_Owl_and_the_Pussycat.jpg
Fiddler on the Roof,1971,$9 million,"$40,500,000[1]",,Highest-grossing,images\1971_Fiddler_on_the_Roof.jpg
Billy Jack,1971,"$800,000","$32,500,000[1]",,Highest-grossing,images\1971_Billy_Jack.jpg
The French Connection,1971,$1.8–2.2 million [ 3 ] [ 4 ],"$26,300,000[1]",,Highest-grossing,images\1971_The_French_Connection.jpg
Summer of '42,1971,$1 million [ 2 ],"$20,500,000[2]",,Highest-grossing,images\1971_Summer_of_'42.jpg
Diamonds Are Forever,1971,$7.2 million [ 3 ],"$19,727,000[2]",,Highest-grossing,images\1971_Diamonds_Are_Forever.jpg
Dirty Harry,1971,$4 million,"$18,000,000[2]",,Highest-grossing,images\1971_Dirty_Harry.jpg
A Clockwork Orange,1971,$1.3 million [ 4 ],"$17,000,000[2]",,Highest-grossing,images\1971_A_Clockwork_Orange.jpg
Carnal Knowledge,1971,$5 million [ 2 ],"$14,075,000[2]",,Highest-grossing,images\1971_Carnal_Knowledge.jpg
The Last Picture Show,1971,$1.3 million,"$13,110,000[2]",,Highest-grossing,images\1971_The_Last_Picture_Show.jpg
Sweet Sweetback's Baadasssss Song,1971,"$150,000 [ 1 ]","$9,200,000[3]",,Highest-grossing,images\1971_Sweet_Sweetback's_Baadasssss_Song.jpg
The Godfather,1972,$6–7 million [ N 1 ],"$86,300,000[1]",,Highest-grossing,images\1972_The_Godfather.jpg
The Poseidon Adventure,1972,$4.7 million [ 1 ],"$42,000,000[1]",,Highest-grossing,images\1972_The_Poseidon_Adventure.jpg
"What's Up, Doc?",1972,$4 million,"$28,000,000[1]",,Highest-grossing,"images\1972_What's_Up,_Doc?.jpg"
Deliverance,1972,$2 million,"$22,500,000[1]",,Highest-grossing,images\1972_Deliverance.jpg
Jeremiah Johnson,1972,$3.1 million [ 3 ],"$21,900,000[2]",,Highest-grossing,images\1972_Jeremiah_Johnson.jpg
Cabaret,1972,$4.6 million [ 2 ],"$20,250,000[2]",,Highest-grossing,images\1972_Cabaret.jpg
Deep Throat,1972,"$47,500","$20,000,000[2]",,Highest-grossing,images\1972_Deep_Throat.jpg
The Getaway,1972,$3.3 million [ 2 ] [ 3 ],"$18,000,000[2]",,Highest-grossing,images\1972_The_Getaway.jpg
Brother of the Wind,1972,,"$12,000,000[3]",,Highest-grossing,
Lady Sings the Blues,1972,over $2 million [ 2 ],"$9,666,000[2]",,Highest-grossing,images\1972_Lady_Sings_the_Blues.jpg
The Exorcist,1973,$12 million [ 2 ],"$88,500,000[1]",,Highest-grossing,images\1973_The_Exorcist.jpg
The Sting,1973,$5.5 million [ 1 ],"$79,000,000[1]",,Highest-grossing,images\1973_The_Sting.jpg
American Graffiti,1973,"$777,000 [ 1 ]","$55,900,000[1]",,Highest-grossing,images\1973_American_Graffiti.jpg
Papillon,1973,$13.5 million [ 5 ],"$22,500,000[1]",,Highest-grossing,images\1973_Papillon.jpg
The Way We Were,1973,$5 million,"$22,457,000[2]",,Highest-grossing,images\1973_The_Way_We_Were.jpg
Magnum Force,1973,,"$20,100,000[2]",,Highest-grossing,images\1973_Magnum_Force.jpg
Last Tango in Paris,1973,$1 million [ 1 ],"$16,711,000[2]",,Highest-grossing,images\1973_Last_Tango_in_Paris.jpg
Paper Moon,1973,$2.5 million [ 1 ],"$16,559,000[2]",,Highest-grossing,images\1973_Paper_Moon.jpg
Live and Let Die,1973,$7 million,"$15,925,000[2]",,Highest-grossing,images\1973_Live_and_Let_Die.jpg
Serpico,1973,$3.3 million [ 2 ],"$15,400,000[3]",,Highest-grossing,images\1973_Serpico.jpg
The Towering Inferno,1974,$14 million [ 3 ],"$50,000,000[1]",,Highest-grossing,images\1974_The_Towering_Inferno.jpg
Blazing Saddles,1974,$2.6 million,"$45,200,000[1]",,Highest-grossing,images\1974_Blazing_Saddles.jpg
Young Frankenstein,1974,$2.78 million [ 2 ],"$38,800,000[1]",,Highest-grossing,images\1974_Young_Frankenstein.jpg
Earthquake,1974,$6.6 million,"$36,300,000[1]",,Highest-grossing,images\1974_Earthquake.jpg
The Trial of Billy Jack,1974,$2.5 million [ 1 ],"$31,100,000[2]",,Highest-grossing,images\1974_The_Trial_of_Billy_Jack.jpg
The Godfather Part II,1974,$13 million [ 2 ] [ 3 ],"$30,700,000[1]",,Highest-grossing,images\1974_The_Godfather_Part_II.jpg
Airport 1975,1974,$3 million [ 2 ],"$25,800,000[1]",,Highest-grossing,images\1974_Airport_1975.jpg
The Longest Yard,1974,$2.9 million [ 2 ],"$23,000,000[1]",,Highest-grossing,images\1974_The_Longest_Yard.jpg
Death Wish,1974,$3.7 million [ 2 ],"$22,000,000[3]",,Highest-grossing,images\1974_Death_Wish.jpg
The Life and Times of Grizzly Adams,1974,"$125,000 [ 1 ]","$21,895,000[4]",,Highest-grossing,images\1974_The_Life_and_Times_of_Grizzly_Adams.jpg
Jaws,1975,$9–12 million [ 3 ],"$133,400,000[1]",,Highest-grossing,images\1975_Jaws.jpg
One Flew Over the Cuckoo's Nest,1975,$3–4.4 million [ 1 ] [ 2 ],"$59,200,000[1]",,Highest-grossing,images\1975_One_Flew_Over_the_Cuckoo's_Nest.jpg
The Rocky Horror Picture Show†,1975,$1.4 million [ 5 ],"$50,420,000[2][a]",,Highest-grossing,images\1975_The_Rocky_Horror_Picture_Show†.jpg
Shampoo,1975,$4 million [ 2 ],"$23,822,000[2]",,Highest-grossing,images\1975_Shampoo.jpg
Dog Day Afternoon,1975,$3.5–$3.8 million [ 2 ] [ 3 ],"$22,500,000[1]",,Highest-grossing,images\1975_Dog_Day_Afternoon.jpg
The Return of the Pink Panther,1975,$5 million,"$20,017,000[2]",,Highest-grossing,images\1975_The_Return_of_the_Pink_Panther.jpg
Three Days of the Condor,1975,$7.8 million [ 1 ],"$20,014,000[2]",,Highest-grossing,images\1975_Three_Days_of_the_Condor.jpg
Funny Lady,1975,$8.5 million [ 2 ],"$19,313,000[2]",,Highest-grossing,images\1975_Funny_Lady.jpg
The Other Side of the Mountain,1975,,"$18,012,000[2]",,Highest-grossing,images\1975_The_Other_Side_of_the_Mountain.jpg
Tommy,1975,$3 million [ 2 ],"$17,793,000[2]",,Highest-grossing,images\1975_Tommy.jpg
Rocky,1976,$1.1 million,"$55,900,000[1]",,Highest-grossing,images\1976_Rocky.jpg
A Star Is Born,1976,$6 million,"$37,100,000[1]",,Highest-grossing,images\1976_A_Star_Is_Born.jpg
King Kong,1976,$23–24 million [ 1 ] [ 2 ],"$36,900,000[1]",,Highest-grossing,images\1976_King_Kong.jpg
Silver Streak,1976,$5.5 million [ 2 ] or $6.5 million [ 3 ],"$30,018,000[2]",,Highest-grossing,images\1976_Silver_Streak.jpg
All the President's Men,1976,$8.5 million,"$30,000,000[1]",,Highest-grossing,images\1976_All_the_President's_Men.jpg
The Omen,1976,$2.8 million [ 4 ] [ 5 ],"$28,500,000[1]",,Highest-grossing,images\1976_The_Omen.jpg
The Bad News Bears,1976,$9 million [ 1 ],"$24,800,000[1]",,Highest-grossing,images\1976_The_Bad_News_Bears.jpg
The Enforcer,1976,$9 million [ 1 ],"$24,000,000[1]",,Highest-grossing,images\1976_The_Enforcer.jpg
In Search of Noah's Ark,1976,,"$23,800,000[1]",,Highest-grossing,images\1976_In_Search_of_Noah's_Ark.jpg
Midway,1976,$4 million,"$21,610,435[2]",,Highest-grossing,images\1976_Midway.jpg
Star Wars,1977,$11 million [ 3 ] [ 4 ],"$221,280,994[1][2]",,Highest-grossing,images\1977_Star_Wars.jpg
Smokey and the Bandit,1977,$4.3 million [ 4 ],"$126,737,428[3]",,Highest-grossing,images\1977_Smokey_and_the_Bandit.jpg
Close Encounters of the Third Kind,1977,$19.4 million [ 3 ],"$116,395,460[4]",,Highest-grossing,images\1977_Close_Encounters_of_the_Third_Kind.jpg
Saturday Night Fever,1977,$3.5 million [ 4 ],"$94,213,184[5]",,Highest-grossing,images\1977_Saturday_Night_Fever.jpg
The Goodbye Girl,1977,,"$83,700,000[6]",,Highest-grossing,images\1977_The_Goodbye_Girl.jpg
A Bridge Too Far,1977,$25 million [ 3 ],"$50,750,000[7]",,Highest-grossing,images\1977_A_Bridge_Too_Far.jpg
The Deep,1977,$9 million [ 1 ] or $8.5 million [ 2 ],"$47,346,365[8]",,Highest-grossing,images\1977_The_Deep.jpg
The Spy Who Loved Me,1977,$13.5 million [ 4 ],"$46,838,673[9]",,Highest-grossing,images\1977_The_Spy_Who_Loved_Me.jpg
"Oh, God!",1977,$2.1 million [ 1 ],"$41,687,243[10]",,Highest-grossing,"images\1977_Oh,_God!.jpg"
Annie Hall,1977,$4 million,"$38,251,425[11]",,Highest-grossing,images\1977_Annie_Hall.jpg
Grease,1978,$6 million [ 2 ],"$159,978,870[1]",,Highest-grossing,images\1978_Grease.jpg
Superman,1978,$55 million [ 6 ],"$134,218,018[2]",,Highest-grossing,images\1978_Superman.jpg
National Lampoon's Animal House,1978,$3 million [ 3 ],"$120,091,123[3]",,Highest-grossing,images\1978_National_Lampoon's_Animal_House.jpg
Every Which Way but Loose,1978,$5 million [ 1 ],"$85,196,485[4]",,Highest-grossing,images\1978_Every_Which_Way_but_Loose.jpg
Heaven Can Wait,1978,$6 million [ 2 ],"$81,640,278[5]",,Highest-grossing,images\1978_Heaven_Can_Wait.jpg
Hooper,1978,$6 million [ 2 ],"$78,000,000[6]",,Highest-grossing,images\1978_Hooper.jpg
Jaws 2,1978,$20 million [ 2 ],"$77,737,272[7]",,Highest-grossing,images\1978_Jaws_2.jpg
Revenge of the Pink Panther,1978,$12 million,"$49,579,269[8]",,Highest-grossing,images\1978_Revenge_of_the_Pink_Panther.jpg
The Deer Hunter,1978,$15 million [ 2 ],"$48,979,328[9]",,Highest-grossing,images\1978_The_Deer_Hunter.jpg
Halloween,1978,"$300,000–325,000","$47,000,000[10]",,Highest-grossing,images\1978_Halloween.jpg
Kramer vs. Kramer,1979,$8 million [ 1 ],"$106,260,000[1]",,Highest-grossing,images\1979_Kramer_vs._Kramer.jpg
The Amityville Horror,1979,$4.7 million [ 4 ] [ 5 ],"$86,432,520[2]",,Highest-grossing,images\1979_The_Amityville_Horror.jpg
Rocky II,1979,$7 million,"$85,182,160[3]",,Highest-grossing,images\1979_Rocky_II.jpg
Apocalypse Now,1979,$31.5 million [ 3 ] [ 4 ] [ 5 ],"$83,471,511[4]",,Highest-grossing,images\1979_Apocalypse_Now.jpg
Star Trek: The Motion Picture,1979,$44 million [ 3 ],"$82,258,456[5]",,Highest-grossing,images\1979_Star_Trek:_The_Motion_Picture.jpg
Alien,1979,$8.4–14 million [ a ] [ 5 ],"$80,931,801[6]",,Highest-grossing,images\1979_Alien.jpg
The Muppet Movie,1979,$8 million [ 6 ],"$76,657,000[7]",,Highest-grossing,images\1979_The_Muppet_Movie.jpg
10,1979,$5-6 million [ 1 ],"$74,865,517[8]",,Highest-grossing,images\1979_10.jpg
The Jerk,1979,$4 million [ 2 ],"$73,691,419[9]",,Highest-grossing,images\1979_The_Jerk.jpg
Moonraker,1979,$34 million,"$70,308,099[10]",,Highest-grossing,images\1979_Moonraker.jpg
The Empire Strikes Back,1980,$30.5 million,"$209,398,025",,Highest-grossing,images\1980_The_Empire_Strikes_Back.jpg
9 to 5,1980,$10 million [ 1 ],"$103,290,500",,Highest-grossing,images\1980_9_to_5.jpg
Stir Crazy,1980,$10 million [ 1 ],"$101,300,000",,Highest-grossing,images\1980_Stir_Crazy.jpg
Airplane!,1980,$3.5 million [ 3 ],"$83,453,539",,Highest-grossing,images\1980_Airplane!.jpg
Any Which Way You Can,1980,$15 million [ 1 ],"$70,687,344",,Highest-grossing,images\1980_Any_Which_Way_You_Can.jpg
Private Benjamin,1980,$9.2 million [ 1 ],"$69,847,348",,Highest-grossing,images\1980_Private_Benjamin.jpg
Coal Miner's Daughter,1980,$15 million (equivalent to $46.6 million in 2023) [ 1 ],"$67,182,787",,Highest-grossing,images\1980_Coal_Miner's_Daughter.jpg
Smokey and the Bandit II,1980,$17 million [ 1 ] [ better source needed ],"$66,132,626",,Highest-grossing,images\1980_Smokey_and_the_Bandit_II.jpg
The Blue Lagoon,1980,$4.5 million,"$58,853,106",,Highest-grossing,images\1980_The_Blue_Lagoon.jpg
The Blues Brothers,1980,$27.5 million [ 2 ],"$57,229,890",,Highest-grossing,images\1980_The_Blues_Brothers.jpg
Raiders of the Lost Ark,1981,$20 million,"$212,222,025",,Highest-grossing,images\1981_Raiders_of_the_Lost_Ark.jpg
On Golden Pond,1981,$15 million [ 1 ],"$119,285,432",,Highest-grossing,images\1981_On_Golden_Pond.jpg
Superman II,1981,$54 million [ 6 ],"$108,185,706",,Highest-grossing,images\1981_Superman_II.jpg
Arthur,1981,$7 million,"$95,461,682",,Highest-grossing,images\1981_Arthur.jpg
Stripes,1981,$9–10 million [ 1 ],"$85,297,000",,Highest-grossing,images\1981_Stripes.jpg
The Cannonball Run,1981,US$16–18 million [ 3 ],"$72,179,579",,Highest-grossing,images\1981_The_Cannonball_Run.jpg
Chariots of Fire,1981,"$5.5 million (£3 million) [ 2 ] or £4,032,859 [ 3 ]","$58,972,904",,Highest-grossing,images\1981_Chariots_of_Fire.jpg
For Your Eyes Only,1981,$28 million [ 3 ],"$54,812,802",,Highest-grossing,images\1981_For_Your_Eyes_Only.jpg
The Four Seasons,1981,$6.5 million [ 1 ],"$50,427,646",,Highest-grossing,images\1981_The_Four_Seasons.jpg
Time Bandits,1981,$5 million [ 2 ],"$42,365,581",,Highest-grossing,images\1981_Time_Bandits.jpg
E.T. the Extra-Terrestrial,1982,$10.5 million [ 3 ] [ 4 ],"$359,197,037[n 1]",,Highest-grossing,images\1982_E.T._the_Extra-Terrestrial.jpg
Tootsie,1982,$22 million [ 1 ],"$177,200,000",,Highest-grossing,images\1982_Tootsie.jpg
An Officer and a Gentleman,1982,$7.5 million [ 1 ] [ 2 ],"$129,795,554",,Highest-grossing,images\1982_An_Officer_and_a_Gentleman.jpg
First Blood,1982,$15 million [ 3 ],"$125,212,904",,Highest-grossing,images\1982_First_Blood.jpg
Rocky III,1982,$17 million [ 1 ],"$124,146,897",,Highest-grossing,images\1982_Rocky_III.jpg
Porky's,1982,$4–5 million [ 3 ] [ 4 ],"$105,492,483",,Highest-grossing,images\1982_Porky's.jpg
Star Trek II: The Wrath of Khan,1982,$12 million [ 2 ] [ 3 ],"$78,912,963",,Highest-grossing,images\1982_Star_Trek_II:_The_Wrath_of_Khan.jpg
48 Hrs.,1982,$12 million [ 1 ],"$78,868,508",,Highest-grossing,images\1982_48_Hrs..jpg
Poltergeist,1982,$10.7 million,"$76,606,280",,Highest-grossing,images\1982_Poltergeist.jpg
The Best Little Whorehouse in Texas,1982,$20.5 million – $35 million [ 2 ],"$69,701,637",,Highest-grossing,images\1982_The_Best_Little_Whorehouse_in_Texas.jpg
Return of the Jedi,1983,$32.5–42.7 million [ 2 ] [ 3 ],"$309,306,177",,Highest-grossing,images\1983_Return_of_the_Jedi.jpg
Terms of Endearment,1983,$8 million,"$108,423,489",,Highest-grossing,images\1983_Terms_of_Endearment.jpg
Flashdance,1983,$7 million,"$92,921,203",,Highest-grossing,images\1983_Flashdance.jpg
Trading Places,1983,$15 million,"$90,404,800",,Highest-grossing,images\1983_Trading_Places.jpg
WarGames,1983,$12 million,"$79,567,667",,Highest-grossing,images\1983_WarGames.jpg
Yentl,1983,,$68.7 million,,Highest-grossing,
Sudden Impact,1983,$22 million [ 1 ],"$67,642,693",,Highest-grossing,images\1983_Sudden_Impact.jpg
Staying Alive,1983,$22 million [ 4 ],"$64,892,670",,Highest-grossing,images\1983_Staying_Alive.jpg
